ID Usuario,Edad,Genero,Fecha,Localidad,Plataforma,Dispositivo,Sistema Operativo,Conexion Exitosa
2111133,49,M,2024-06-05,"Neuquén, Neuquén",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
8300874,25,M,2024-01-26,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,1
3401625,38,F,2024-07-18,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
8098617,26,M,2024-12-26,"Mendoza, Mendoza",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
3183171,24,M,2024-02-20,"Neuquén, Neuquén",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,1
5501355,52,M,2024-03-20,"Rosario, Santa Fe",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.3.2,1
8763861,59,F,2024-04-09,"Salta, Salta",Amazon Prime,"Smart TV 55"" HD LED",Tizen 4.0,1
6060214,36,M,2024-03-15,"Trelew, Chubut",Disney+,"Smart TV 55"" HD LED",Tizen 4.0,0
6011125,32,F,2024-11-20,"La Plata, Buenos Aires",HBO Max,"Smart TV 65"" OLED 4K",Tizen 3.0,1
8098617,52,F,2024-04-12,"Mendoza, Mendoza",Disney+,"Smart TV 55"" UHD 4K",Tizen 4.0,1
3679216,64,M,2024-07-06,"Rosario, Santa Fe",Amazon Prime,"Smart TV 55"" HD LED",Tizen 3.0,0
1538678,64,M,2024-07-19,"Paraná, Entre Ríos",HBO Max,"Smart TV 55"" UHD 4K",Tizen 4.0,0
3056780,23,M,2024-02-12,"Neuquén, Neuquén",Amazon Prime,"Smart TV 65"" OLED 4K",Tizen 2.3.2,0
8815115,32,M,2024-03-31,"Rosario, Santa Fe",Amazon Prime,"Smart TV 65"" OLED 4K",Tizen 2.3.2,1
2258852,50,M,2024-03-09,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 65"" OLED 4K",Tizen 2.2.1,0
6659805,36,F,2024-05-14,"Trelew, Chubut",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 4.0,1
1939657,60,F,2024-01-29,"Neuquén, Neuquén",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
7187876,52,F,2024-11-20,"Mendoza, Mendoza",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,0
4503104,38,F,2024-09-14,"Neuquén, Neuquén",Disney+,"Smart TV 55"" HD LED",Tizen 3.0,0
6174039,25,F,2024-09-02,"Paraná, Entre Ríos",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
1596226,42,M,2024-06-01,"Córdoba, Córdoba",Paramount+,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
2820277,36,F,2024-05-03,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" HD LED",Tizen 4.0,1
1862791,28,M,2024-04-10,"Neuquén, Neuquén",HBO Max,"Smart TV 65"" OLED 4K",Tizen 2.2.1,1
5099895,58,F,2024-07-08,"Trelew, Chubut",HBO Max,"Smart TV 65"" OLED 4K",Tizen 4.0,1
4251331,42,F,2024-12-16,"Neuquén, Neuquén",HBO Max,"Smart TV 55"" HD LED",Tizen 3.0,1
6135101,40,F,2024-05-13,"Córdoba, Córdoba",Paramount+,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
3981656,54,F,2024-01-01,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,0
5585966,55,M,2024-04-28,"Neuquén, Neuquén",HBO Max,"Smart TV 55"" HD LED",Tizen 3.0,0
9825410,50,M,2024-08-20,"Neuquén, Neuquén",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.3.2,1
3275861,20,F,2024-11-08,"Salta, Salta",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
9897389,39,F,2024-09-12,"Rosario, Santa Fe",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
8028279,47,F,2024-08-19,"San Juan, San Juan",HBO Max,"Smart TV 65"" OLED 4K",Tizen 3.0,1
5038749,45,F,2024-09-04,"Paraná, Entre Ríos",HBO Max,"Smart TV 55"" HD LED",Tizen 3.0,1
5120005,51,F,2024-12-22,"Rosario, Santa Fe",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
1163202,26,F,2024-06-23,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 65"" OLED 4K",Tizen 2.3.2,0
6994226,30,F,2024-06-20,"La Plata, Buenos Aires",Paramount+,"Smart TV 65"" OLED 4K",Tizen 2.2.1,1
6174039,60,F,2024-08-23,"Paraná, Entre Ríos",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,1
5120005,57,F,2024-11-21,"Rosario, Santa Fe",Paramount+,"Smart TV 55"" UHD 4K",Tizen 3.0,1
2171573,21,M,2024-10-18,"Neuquén, Neuquén",Amazon Prime,"Smart TV 55"" HD LED",Tizen 3.0,1
5830567,27,M,2024-11-28,"San Juan, San Juan",Paramount+,"Smart TV 55"" HD LED",Tizen 3.0,1
8098617,23,F,2024-06-14,"Mendoza, Mendoza",Disney+,"Smart TV 65"" OLED 4K",Tizen 2.2.1,1
4896682,45,F,2024-12-05,"La Plata, Buenos Aires",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
5501355,41,M,2024-07-29,"Rosario, Santa Fe",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
4385237,28,F,2024-09-12,"Córdoba, Córdoba",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,1
1163202,21,M,2024-09-05,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 55"" UHD 4K",Tizen 4.0,1
6897699,28,F,2024-12-05,"Neuquén, Neuquén",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.2.1,1
2954709,44,F,2024-03-17,"Rosario, Santa Fe",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
7229437,37,F,2024-01-11,"Córdoba, Córdoba",Paramount+,"Smart TV 55"" HD LED",Tizen 4.0,1
6735386,48,M,2024-12-25,"Rosario, Santa Fe",Amazon Prime,"Smart TV 55"" HD LED",Tizen 4.0,0
9825410,34,M,2024-06-05,"Neuquén, Neuquén",HBO Max,"Smart TV 65"" OLED 4K",Tizen 4.0,0
8634910,60,M,2024-05-28,"Salta, Salta",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,0
4389728,59,M,2024-01-23,"Córdoba, Córdoba",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
4256983,21,M,2024-07-10,"Córdoba, Córdoba",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
7632662,23,M,2024-08-16,"La Plata, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,0
4896682,44,F,2024-06-19,"La Plata, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 4.0,0
2287130,54,M,2024-10-01,"Salta, Salta",Disney+,"Smart TV 55"" HD LED",Tizen 2.2.1,1
3218729,43,F,2024-07-27,"Mendoza, Mendoza",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
6637472,64,M,2024-08-27,"Córdoba, Córdoba",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,0
3631212,37,M,2024-08-09,"Mendoza, Mendoza",Disney+,"Smart TV 65"" OLED 4K",Tizen 4.0,0
4985885,50,F,2024-11-03,"Trelew, Chubut",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,1
5496571,30,F,2024-04-01,"Córdoba, Córdoba",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,1
6658281,64,M,2024-03-15,"Paraná, Entre Ríos",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
6626001,50,M,2024-07-09,"Paraná, Entre Ríos",Netflix,"Smart TV 55"" HD LED",Tizen 2.2.1,1
9045337,19,F,2024-03-03,"Neuquén, Neuquén",HBO Max,"Smart TV 55"" UHD 4K",Tizen 4.0,1
2191380,40,F,2024-03-18,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 55"" UHD 4K",Tizen 4.0,1
1470814,27,M,2024-06-27,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,0
5259498,37,M,2024-04-16,"Neuquén, Neuquén",Disney+,"Smart TV 55"" HD LED",Tizen 3.0,0
9078371,39,M,2024-06-12,"San Juan, San Juan",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
2072236,32,F,2024-12-05,"Trelew, Chubut",Netflix,"Smart TV 55"" HD LED",Tizen 4.0,0
7630086,62,M,2024-07-05,"Salta, Salta",HBO Max,"Smart TV 65"" OLED 4K",Tizen 4.0,0
6210556,26,F,2024-03-05,"San Juan, San Juan",HBO Max,"Smart TV 55"" UHD 4K",Tizen 4.0,1
7309460,41,M,2024-12-22,"Rosario, Santa Fe",Disney+,"Smart TV 65"" OLED 4K",Tizen 2.3.2,1
5923969,59,M,2024-02-02,"Neuquén, Neuquén",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
2479863,39,M,2024-11-01,"Rosario, Santa Fe",Disney+,"Smart TV 55"" HD LED",Tizen 3.0,1
4463449,34,M,2024-07-15,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" HD LED",Tizen 3.0,1
7948706,21,F,2024-04-20,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.2.1,1
3679216,23,M,2024-09-02,"Rosario, Santa Fe",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,0
1351283,58,M,2024-09-22,"Mendoza, Mendoza",Amazon Prime,"Smart TV 55"" HD LED",Tizen 4.0,1
3275861,25,M,2024-07-05,"Salta, Salta",Paramount+,"Smart TV 55"" HD LED",Tizen 3.0,1
6897699,46,M,2024-10-28,"Neuquén, Neuquén",HBO Max,"Smart TV 65"" OLED 4K",Tizen 4.0,1
7809464,29,F,2024-04-09,"Salta, Salta",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
8174496,48,M,2024-05-23,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.3.2,0
9371790,55,F,2024-03-07,"Córdoba, Córdoba",Netflix,"Smart TV 65"" OLED 4K",Tizen 2.2.1,1
6441684,53,F,2024-10-26,"La Plata, Buenos Aires",HBO Max,"Smart TV 65"" OLED 4K",Tizen 3.0,1
3369342,59,M,2024-11-01,"Salta, Salta",Netflix,"Smart TV 55"" HD LED",Tizen 2.3.2,1
6626001,35,M,2024-12-13,"Paraná, Entre Ríos",Paramount+,"Smart TV 65"" OLED 4K",Tizen 4.0,1
5120005,19,M,2024-10-26,"Rosario, Santa Fe",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
4147101,54,M,2024-06-13,"Trelew, Chubut",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,1
2438964,24,M,2024-07-03,"Mendoza, Mendoza",Netflix,"Smart TV 55"" HD LED",Tizen 4.0,0
3631212,64,M,2024-03-31,"Mendoza, Mendoza",Disney+,"Smart TV 65"" OLED 4K",Tizen 4.0,1
4003265,27,M,2024-08-06,"Mendoza, Mendoza",Disney+,"Smart TV 65"" OLED 4K",Tizen 2.2.1,1
4854914,59,M,2024-11-19,"Salta, Salta",Disney+,"Smart TV 65"" OLED 4K",Tizen 2.2.1,1
9371790,54,F,2024-01-31,"Córdoba, Córdoba",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
4854914,39,F,2024-01-12,"Salta, Salta",HBO Max,"Smart TV 55"" HD LED",Tizen 4.0,1
5505522,31,M,2024-11-13,"Córdoba, Córdoba",Paramount+,"Smart TV 55"" HD LED",Tizen 4.0,0
4530206,19,M,2024-07-28,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 65"" OLED 4K",Tizen 2.3.2,0
2479863,21,M,2024-01-23,"Rosario, Santa Fe",HBO Max,"Smart TV 55"" HD LED",Tizen 2.3.2,1
9642475,55,F,2024-10-04,"Paraná, Entre Ríos",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
1862791,40,F,2024-04-04,"Neuquén, Neuquén",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
3151183,19,F,2024-08-13,"La Plata, Buenos Aires",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
3981656,43,F,2024-11-25,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 65"" OLED 4K",Tizen 2.3.2,0
3814313,65,F,2024-12-20,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.2.1,1
1163202,25,M,2024-08-30,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 55"" HD LED",Tizen 4.0,1
8361253,39,F,2024-12-18,"Trelew, Chubut",Netflix,"Smart TV 55"" UHD 4K",Tizen 4.0,1
7111765,28,M,2024-07-27,"Rosario, Santa Fe",HBO Max,"Smart TV 65"" OLED 4K",Tizen 2.3.2,1
9537197,44,F,2024-09-01,"Trelew, Chubut",HBO Max,"Smart TV 55"" UHD 4K",Tizen 3.0,1
4937636,57,F,2024-06-07,"Rosario, Santa Fe",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.2.1,0
6740667,50,M,2024-09-19,"Mendoza, Mendoza",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,1
2840028,49,F,2024-12-16,"Salta, Salta",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
9642475,57,F,2024-05-28,"Paraná, Entre Ríos",HBO Max,"Smart TV 55"" HD LED",Tizen 4.0,1
9371790,38,F,2024-09-10,"Córdoba, Córdoba",HBO Max,"Smart TV 65"" OLED 4K",Tizen 2.3.2,1
6994226,21,M,2024-04-11,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" HD LED",Tizen 3.0,1
2681268,60,M,2024-03-05,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
1939657,23,M,2024-12-29,"Neuquén, Neuquén",Netflix,"Smart TV 55"" HD LED",Tizen 2.2.1,1
2323545,39,M,2024-08-21,"Rosario, Santa Fe",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
2438964,42,M,2024-10-04,"Mendoza, Mendoza",HBO Max,"Smart TV 55"" HD LED",Tizen 3.0,0
9275795,50,F,2024-05-30,"Neuquén, Neuquén",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 3.0,1
4463449,23,F,2024-07-10,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" HD LED",Tizen 3.0,1
5594700,56,M,2024-09-02,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 4.0,0
8934439,20,M,2024-01-20,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 55"" HD LED",Tizen 3.0,1
2287130,49,F,2024-04-12,"Salta, Salta",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
8361253,24,F,2024-01-08,"Trelew, Chubut",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
5939327,34,F,2024-11-01,"San Juan, San Juan",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
2438964,61,F,2024-01-31,"Mendoza, Mendoza",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,0
5283648,34,F,2024-06-12,"Trelew, Chubut",Netflix,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
7809464,22,F,2024-11-13,"Salta, Salta",HBO Max,"Smart TV 65"" OLED 4K",Tizen 4.0,0
7111765,35,F,2024-03-24,"Rosario, Santa Fe",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
7309460,42,M,2024-06-22,"Rosario, Santa Fe",Amazon Prime,"Smart TV 65"" OLED 4K",Tizen 3.0,1
1351283,35,M,2024-08-21,"Mendoza, Mendoza",Disney+,"Smart TV 55"" UHD 4K",Tizen 3.0,1
5120005,29,M,2024-08-23,"Rosario, Santa Fe",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,1
1587518,53,F,2024-07-30,"San Juan, San Juan",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,0
1538678,31,M,2024-03-28,"Paraná, Entre Ríos",Paramount+,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,0
4256983,20,F,2024-06-03,"Córdoba, Córdoba",Paramount+,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
3275861,64,M,2024-10-20,"Salta, Salta",Amazon Prime,"Smart TV 55"" HD LED",Tizen 4.0,1
6637472,34,M,2024-01-18,"Córdoba, Córdoba",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,0
5505522,20,M,2024-03-29,"Córdoba, Córdoba",Paramount+,"Smart TV 65"" OLED 4K",Tizen 3.0,1
9371790,19,F,2024-11-23,"Córdoba, Córdoba",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.2.1,1
7629246,39,F,2024-10-27,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 55"" UHD 4K",Tizen 3.0,0
5045194,53,M,2024-11-20,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 55"" HD LED",Tizen 2.2.1,0
7630086,62,F,2024-09-24,"Salta, Salta",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,0
1271461,19,F,2024-08-19,"Rosario, Santa Fe",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
5585966,23,F,2024-04-07,"Neuquén, Neuquén",Paramount+,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,0
6441684,46,F,2024-04-23,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 65"" OLED 4K",Tizen 4.0,0
3044061,30,M,2024-03-12,"Trelew, Chubut",HBO Max,"Smart TV 65"" OLED 4K",Tizen 4.0,1
4985885,55,M,2024-01-12,"Trelew, Chubut",Disney+,"Smart TV 55"" HD LED",Tizen 3.0,1
5923969,46,M,2024-03-04,"Neuquén, Neuquén",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 4.0,1
7468317,32,M,2024-03-19,"Mendoza, Mendoza",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
6210556,57,M,2024-11-14,"San Juan, San Juan",HBO Max,"Smart TV 65"" OLED 4K",Tizen 2.2.1,1
4147101,19,M,2024-07-11,"Trelew, Chubut",Disney+,"Smart TV 55"" UHD 4K",Tizen 3.0,1
2088527,55,M,2024-12-11,"Mendoza, Mendoza",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
2877627,18,F,2024-11-01,"Rosario, Santa Fe",Netflix,"Smart TV 55"" HD LED",Tizen 2.3.2,1
9897389,34,F,2024-08-17,"Rosario, Santa Fe",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
6130519,46,F,2024-08-29,"Paraná, Entre Ríos",Netflix,"Smart TV 55"" HD LED",Tizen 4.0,1
6626001,19,M,2024-06-08,"Paraná, Entre Ríos",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
4147101,48,M,2024-07-01,"Trelew, Chubut",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
2681268,47,F,2024-01-04,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 55"" HD LED",Tizen 3.0,0
3491320,46,M,2024-03-19,"Córdoba, Córdoba",Amazon Prime,"Smart TV 65"" OLED 4K",Tizen 2.3.2,0
5501355,46,M,2024-07-19,"Rosario, Santa Fe",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
4147101,41,M,2024-04-07,"Trelew, Chubut",Disney+,"Smart TV 65"" OLED 4K",Tizen 2.3.2,1
8174496,64,F,2024-02-13,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,1
6936883,24,F,2024-12-26,"San Juan, San Juan",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
7412617,52,F,2024-07-14,"Salta, Salta",HBO Max,"Smart TV 65"" OLED 4K",Tizen 3.0,1
7187876,23,F,2024-12-25,"Mendoza, Mendoza",HBO Max,"Smart TV 55"" HD LED",Tizen 4.0,1
8363148,49,M,2024-02-14,"Rosario, Santa Fe",Disney+,"Smart TV 55"" HD LED",Tizen 3.0,0
9218466,50,M,2024-01-05,"Mendoza, Mendoza",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.2.1,0
5923969,30,F,2024-07-26,"Neuquén, Neuquén",Disney+,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
5236660,54,F,2024-08-24,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 55"" HD LED",Tizen 3.0,0
2191380,26,M,2024-06-13,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 55"" HD LED",Tizen 4.0,1
4938846,48,F,2024-01-21,"La Plata, Buenos Aires",Disney+,"Smart TV 55"" HD LED",Tizen 2.2.1,0
3800813,24,F,2024-10-13,"San Juan, San Juan",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
9642475,32,F,2024-04-09,"Paraná, Entre Ríos",Netflix,"Smart TV 55"" HD LED",Tizen 4.0,1
8098617,55,F,2024-07-16,"Mendoza, Mendoza",Paramount+,"Smart TV 55"" UHD 4K",Tizen 3.0,1
9648346,60,F,2024-01-15,"Paraná, Entre Ríos",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,0
4385237,28,F,2024-09-04,"Córdoba, Córdoba",Paramount+,"Smart TV 55"" HD LED",Tizen 3.0,1
4985885,41,M,2024-03-16,"Trelew, Chubut",Amazon Prime,"Smart TV 55"" HD LED",Tizen 4.0,1
6735386,53,F,2024-04-11,"Rosario, Santa Fe",HBO Max,"Smart TV 55"" UHD 4K",Tizen 4.0,0
9648346,48,M,2024-01-05,"Paraná, Entre Ríos",HBO Max,"Smart TV 55"" HD LED",Tizen 2.2.1,1
2072236,23,F,2024-04-11,"Trelew, Chubut",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
1862791,28,M,2024-01-26,"Neuquén, Neuquén",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
2394925,23,F,2024-01-30,"San Juan, San Juan",Disney+,"Smart TV 55"" UHD 4K",Tizen 3.0,1
6735386,55,F,2024-08-12,"Rosario, Santa Fe",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
9040195,62,M,2024-06-14,"San Juan, San Juan",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,1
5505522,57,F,2024-05-20,"Córdoba, Córdoba",Disney+,"Smart TV 55"" HD LED",Tizen 2.2.1,1
2820277,64,F,2024-07-23,"La Plata, Buenos Aires",HBO Max,"Smart TV 55"" HD LED",Tizen 4.0,1
9074356,25,M,2024-07-16,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
4147101,35,M,2024-02-23,"Trelew, Chubut",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 4.0,1
